productname,productbrand,price,numimages,description,primarycolor,sexuality,adult,disc_len,name_len
AURELIA Women Charcoal Grey Regular Fit Self-Checked Trousers,AURELIA,799,7,"\"Charcoal grey self-checked mid-rise trousers",has a belt loops with snap button and zip fly closure,1,1,5,8
WROGN Men Maroon Printed Slim Fit Round Neck T-shirt,WROGN,659,5,"\"Maroon printed T-shirt",has a round neck,0,1,3,9
W Women Lavender & Golden Floral Printed & Embellished Ethnic Maxi Dress,W,4999,5,"\"Lavender",golden and white printed and embellished woven ethnic maxi dress with sequinned detail,1,1,1,12
W Women Navy Blue & Off-White Printed Straight Kurta,W,1199,5,"\"Navy blue and off-white printed straight kurta with threadwork and striped detail",has a round neck,1,1,12,9
Cortina Brown Set of 2 Door Curtains,Cortina,545,4,Set content: 2 Door curtainsColour: BrownPattern: Geometric DoorLight blocking: RegularFitting: EyeletLining: No,Brown,2,1,12,7
AccessHer Gold-Toned & White Circular Studs,AccessHer,902,3,"\"Gold-Toned and White Circular Earrings",gold-plated,1,1,5,6
W Women Maroon & Golden Printed Straight Kurta With Satin Finish,W,764,5,"\"Maroon and Golden printed straight kurta with satin finish",has a keyhole neck,1,1,9,11
VarEesha Brown Solid Wood Chopping Board/ Serving Platter,VarEesha,831,5,"\"Type: Chopping boardColour: BrownPattern: SolidMaterial: WoodAbout Range: Add grace and elegance to your dining experience with VarEesha's uniquely designed platters and dishes. Each piece is handcrafted by skilled craftsmen with practical utility in mind. Simple and smart",this Hand Crafted Long Chopping Board/ Serving Platter from VarEesha is a beautiful example of simplicity and utility. Serving dual purpose,2,1,37,8
W Women Navy Blue Solid Straight Kurta,W,1139,5,"\"Navy Blue solid straight kurta with embroidered panelling",has a keyhole neck with button closure,1,1,8,7
United Colors of Benetton Men Orange & Black Solid Thong Flip-Flops,United Colors of Benetton,499,5,A pair of orange and black solid flip flopsRubber upper materialCushioned footbedPatterned rubber outsoleWarranty: 1 monthWarranty provided by brand/manufacturer,Black,0,1,19,11
Disney by Wear Your Mind Men Brown Printed Round Neck T-shirt,Disney by Wear Your Mind,559,5,"\"Brown and black printed T-shirt",has a round neck,0,1,5,11
Vishudh Women Black & White Checked Shirt Dress With Belt,Vishudh,1299,5,"\"Black and White checked woven shirt dress",has a shirt collar,1,1,7,10
Flying Machine Boys Yellow and Colourblocked Polo Collar T-shirt,Flying Machine,399,3,"\"Yellow and Blue colourblocked T-shirt",has a polo collar,0,0,5,9
Gini and Jony Boys Beige Slim Fit Solid Trousers,Gini and Jony,599,3,"\"Beige solid mid-rise trousers",button closure,0,0,4,9
SG YUVRAJ Boys Coffee Brown Solid Kurta with Pyjamas,SG YUVRAJ,879,5,"\"Coffee Brown solid kurta with pyjamas Coffee Brown pathani knee length kurta",has a shirt collar,0,0,12,9
Pepe Jeans Boys Blue Cashed Slim Fit Mid-Rise Clean Look Stretchable Jeans,Pepe Jeans,1249,5,"\"Blue medium wash 5-pocket mid-rise jeans with embroidered detail",clean look,0,0,9,12
Saree mall Off-White & Red Solid Kasavu Saree,Saree mall,859,6,"\"Off-white and red Kasavu solid saree","has a printed borderBlouse PieceThe model is wearing a?stitched?version?of the blouse. The saree comes with an unstitched blouse piece.\"",1,1,6,8
Puma Men Black & Green Pacer Wave Idp Running Shoes,Puma,1999,7,"\"A pair of black & green running sports shoes",has regular styling,0,1,9,10
Puma Women Pink Cilia Lux Leather Sneakers,Puma,3574,7,"\"Special Technology:SoftFoam+sockliner: Sock-like structure provides flexible fit and long-lasting comfortDesign Details:A pair of round-toe pink sneakers",has regular styling,1,1,16,7
Puma Men Navy Blue Stride Evo IDP Running Shoes,Puma,2274,7,"\"A pair of navy blue running sports shoes",has regular styling,0,1,8,9
Levis Men Black Sneakers,Levis,3999,7,"\"A pair of round-toe black sneakers",has regular styling,0,1,6,4
Kraus Jeans Women Navy Blue & Yellow Floral Print Bardot Top,Kraus Jeans,649,5,"\"Navy Blue and Yellow printed woven bardot  top",has  shoulder straps,1,1,9,11
Aigner No. 1 Eau de Toilette 30 ml,AIGNER,1830,5,"\"What it is:Etienne Aigner launches Aigner No. 1 as a modern interpretation of the classic masculine fragrance of woody and leathery character.Fragrance Notes:-?Top Notes:?Cedar Leaves",Bergamot,0,1,25,8
JEWEL JUNCTION Gold-Toned Square Cufflinks,JEWEL JUNCTION,539,5,A pair of gold-toned square solid cufflinks,Gold,0,1,7,5
SEJ by Nisha Gupta Set of 6 Yellow & Multicoloured Printed Table Placemats,SEJ by Nisha Gupta,899,4,Set content: 6 table mats Shape: Rectangle Colour: Yellow and multicoloured Pattern: Printed Suitable For: 6 seater table Material: Cotton,Red,2,1,21,13
AccessHer Gold-Plated Embellished Nose Ring with Chain,AccessHer,559,3,"\"Gold-plated nose ring with meenakari and pearl chain","secured with a hook closureNo piercing needed\"",1,1,8,7
Next Look Men White Slim Fit Printed Casual Shirt,Next Look,549,5,"\"White printed casual shirt",has a spread collar,0,1,4,9
Fortune Men Black Formal Slip-Ons,Fortune,1699,5,"\"A pair of black round-toed formal slip-on shoes",has elasticated gussets on both sidesSynthetic leather upperCushioned footbedTextured PU outsole,0,1,8,5
Senorita Women Purple Formal Slip-Ons,Senorita,719,5,"\"A pair of purple round-toed formal slip-on shoesSynthetic upperCushioned footbedTextured PVC outsole","has a stacked heel\"",1,1,12,5
ColorPlus Men Blue Regular Fit Solid Casual Shirt,ColorPlus,1039,5,"\"Blue solid casual shirt",has a spread collar,0,1,4,8
Fastrack Men White Analogue Watch 3168SM01,Fastrack,1960,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset TimeStrap style: Silver-Toned bracelet style","stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case\"",0,1,16,6
Fame Forever by Lifestyle Men Grey Solid Round Neck T-shirt,Fame Forever by Lifestyle,359,5,"\"Grey solid T-shirt",has a round neck,0,1,3,10
Ecko Unltd Men Black & White Solid Round Neck T-shirt,Ecko Unltd,278,5,"\"Black and White solid T-shirt",has a round neck,0,1,5,10
Newport Men Navy Blue Printed Round Neck T-shirt,Newport,479,5,"\"Navy blue printed T-shirt",has a round neck,0,1,4,8
ELLE Orange Solid Shoulder Bag,ELLE,1317,5,"\"Orange solid shoulder bag",has a zip closure2 main compartments,1,1,4,5
Belle Fille Women Maroon Solid Sporty Jacket,Belle Fille,639,6,"\"Maroon knitted sporty jacket",has a mock collar with button detail,1,1,4,7
Puma Unisex Black Puma Turin II Sneakers,Puma,2399,5,"\"A pair of round-toe black & white sneakers",has regular styling,2,1,8,7
Urban Dog Men Pack of 2 Assorted Boxers UDBX140_UDBX156,Urban Dog,489,5,"\"Pack of two assorted boxers",has two pockets,0,1,5,9
GMF White & Brown Set of Single Door Curtains,GMF,2265,3,Set content: Single Door curtainsColour: White and BrownPattern: Floral DoorLight blocking: SheerFitting: EyeletLining: No,White,2,1,14,9
Archies Love Gifts White & Black Printed Ceramic Coffee Mug,Archies,699,3,Pattern: PrintedFinish: MatteMaterial: Ceramic,Black,2,1,4,10
Lavie Women Black Solid Bow Detail Block Heels with Metallic Embellishment,Lavie,1999,7,"\"A pair of black open toe block heels with bow and metallic detail",has regular styling,1,1,13,11
Minions by Kook N Keech Women Yellow Solid Hooded Sweatshirt,Minions by Kook N Keech,539,5,"\"Yellow solid sweatshirt",has a hood,1,1,3,10
Home Sparkle Black & Brown Solid Mozaic Shelf,Home Sparkle,924,5,Set content: 1 mozaic shelfColour: Brown and blackMaterial: MDFPattern: Solid,Black,2,1,10,8
United Colors of Benetton Turquoise Blue & Grey Colourblocked Sling Bag,United Colors of Benetton,1139,7,"\"Turquoise Blue and grey colourblocked sling bag",has a button closure1 main compartment,1,1,7,11
Unravel India Brown Warli Painting Wall Candle Stand,Unravel India,1169,3,Colour: BrownType: Wall candle holderPattern: Warli Painting,Brown,2,1,7,8
Indian Terrain Men Navy Blue Urban Tapered Fit Solid Smart Casual Chinos,Indian Terrain,1959,5,"\"Navy Blue solid low-rise trousers",button closure,0,1,5,12
Indian Terrain Boys Green & Mustard Yellow Regular Fit Checked Casual Shirt,Indian Terrain,559,4,"\"Green",mustard yellow and navy checked casual shirt with printed detail,0,0,1,12
OOMPH Women Gold-Toned Artificial Stone-Studded Anklet,OOMPH,431,4,Gold-toned Snake chain stone-studded ankletSecured with an adjustable lobster claspWarranty: 1 monthWarranty provided by brand/ manufacturer,Gold,1,1,16,6
Indian Terrain Men Brown Striped Polo Collar T-shirt,Indian Terrain,719,5,"\"Brown striped T-shirt",has a polo collar,0,1,3,8
Indian Terrain Boys Red Regular Fit Checked Casual Shirt,Indian Terrain,539,4,"\"Red checked casual shirt",has a slim collar,0,0,4,9
Jewels Galaxy Gunmetal-Toned Gold-Plated Stone-Studded Circular Drop Earrings,Jewels Galaxy,599,4,"\"Gunmetal-toned gold-plated circular drop earrings","has artificial stonesSecured with a post and back closure\"",1,1,5,8
DENNISON Men Green Classic Regular Fit Solid Formal Shirt,DENNISON,679,5,"\"Green solid formal shirt",has a spread collar,0,1,4,9
Presto Multicolored Printed Hand Tufted Wool Carpet,PRESTO,20398,5,Content: One carpetColour: Multicolored Fabric: PolyesterShape: RectangularPattern: Striped,Red,2,1,8,7
Indian Terrain Men Brown & White Chiseled Fit Checked Casual Shirt,Indian Terrain,899,6,"\"Brown and White checked casual shirt",has a spread collar,0,1,6,11
Indian Terrain Men Charcoal Grey Solid Front-Open Sweater,Indian Terrain,1484,5,"\"Charcoal grey solid front-open sweater",has a mock collar,0,1,5,8
Lavie Women Brown Solid Two Fold Wallet,Lavie,1014,6,"\"Brown solid two fold wallet",has a button1 main compartment10 card holders,1,1,5,7
Studio Voylla Gold-Plated & Peach-Coloured Enamelled Classic Drop Earrings,Studio Voylla,1803,4,"\"Gold-Toned and Peach-coloured Classic Earrings",brass-plated,1,1,5,9
WROGN Men Blue Slim Fit Solid Jacket,WROGN,1439,7,"\"Blue solid jacket",has a spread collar,0,1,3,7
justpeachy Gold-Toned & Orange Dome Shaped Drop Earrings,justpeachy,454,3,Gold-toned and orange dome-shaped earringsSecured with a post and back,Gold,1,1,10,8
Puma Unisex Black Brand Logo Sole Backpack,Puma,779,7,Black backpackNon-Padded haul loop1 main compartment with drawstring closureNon-Padded backZip PocketPadded shoulder strap: Non-PaddedWater-resistance: NoWarranty: 3 monthsWarranty provided by brand/manufacturer,Black,2,1,20,7
Global Desi Women Navy Blue & Off-White Printed Top,Global Desi,419,5,"\"Navy Blue and Off-white printed woven regular top",has a tie-up neck,1,1,8,9
Z-ZOOM Unisex Wayfarer Sunglasses 55104,Z-ZOOM,1247,4,Lens colour: BrownLens feature: Polarised LensFrame material: MetalFrame style: Full RimBest suited for: Oval face shapeComes in a Z-ZOOM coverWarranty: 2 yearsWarranty provided by brand/manufacturer,"",2,1,25,5
Oxolloxo Women Red Regular Fit Printed Casual Shirt,Oxolloxo,1299,5,"\"Red printed casual shirt",has a spread collar,1,1,4,8
W Women Orange & Black Self-Striped Straight Kurta,W,679,5,"\"Orange and black self-striped straight kurta with embroidered detail",has a round neck,1,1,9,8
GNIST Women Grey Solid Heels,GNIST,949,5,"\"A pair of grey open toe sandals",has mid-top styling,1,1,7,5
Roadster Men Maroon & Navy Blue Self Design Sweater,Roadster,1299,5,"\"Maroon and navy blue self-design sweater",has a round neck,0,1,6,9
Cortina White & Maroon Set of 2 Door Curtains,Cortina,629,4,Set content: 2 Door curtainsColour: White and MaroonPattern: Floral DoorLight blocking: RegularFitting: EyeletLining: No,White,2,1,14,9
W Women White Solid Patiala Salwar,W,799,5,"\"White solid patiala salwar with printed detail","has partially elasticated waistband with slip-on detail\"",1,1,7,6
Moda Rapido Women Turquoise Blue & Golden Printed A-Line Kurta,Moda Rapido,1299,5,"\"Turquoise Blue and golden printed A-line kurta",has a tie-up neck,1,1,7,10
Lady Stark Women Multicoloured Striped Shirt Dress,Lady Stark,2004,5,"\"Multicoloured striped woven shirt dress",has a shirt collar,1,1,5,7
Cortina White & Green Set of 2 Window Curtains,Cortina,629,4,Set content: 2 Window curtainsColour: White and GreenPattern: Floral WindowLight blocking: RegularFitting: EyeletLining: No,Green,2,1,14,9
Ponds Super Light Gel Oil Free Moisturiser 73 g,Ponds,134,7,"\"What it is?Super Light Gel Oil Free MoisturiserWhat it doesSuper lightweight gel-type moisturizer that provides long lasting hydrationInfused with moisture-boosting hyaluronic acid",it improves your skin's natural moisture holding capacity,1,1,22,9
Flying Machine Boys Navy Blue & Red Regular Fit Checked Casual Reversible Shirt,Flying Machine,979,5,"\"Navy Blue and Red checked casual shirt",has a spread collar,0,0,7,13
Hubberholme Women Navy Blue Slim Fit High-Rise Clean Look Stretchable Jeans,Hubberholme,674,5,"\"Navy blue medium wash 5-pocket high-rise jeans with side stripe detail",clean look,1,1,11,11
Alena Women Blue Solid Straight Kurta,Alena,601,4,"\"Blue solid straight kurta",has a mandarin collar,1,1,4,6
Soie Women Lime Green Printed Lounge T-shirts NT-120,Soie,616,5,"\"Lime green printed lounge t-shirts",has a round neck,1,1,5,8
GAP Girl's ColdControl Puffer Jacket,GAP,1899,5,"\"Water-repellent quilted outer shellMade with poly-fill for superior warmth and softnessLong sleeves with elasticized cuffsElasticized trim at hood","zip frontFront slant pockets\"",1,0,18,5
FLAVIDO Women Green & Pink Floral Printed Straight Kurta,FLAVIDO,859,5,"\"Green and pink printed straight kurta",has a mandarin collar,1,1,6,9
HERE&NOW Women Black & White Boxy Checked Casual Shirt,HERE&NOW,489,5,"\"Black and White checked casual shirt",has a spread collar,1,1,6,9
Pepe Jeans Boys White & Blue Regular Fit Printed Casual Shirt,Pepe Jeans,699,4,"\"White and Blue printed casual shirt",has a spread collar,0,0,6,11
hummel Men Black Solid Hooded Sweatshirt,hummel,1399,5,"\"Black solid sweatshirt",has a hood,0,1,3,6
Alcis Women Olive Green Solid Joggers,Alcis,699,5,"\"Olive green solid joggers",has an elasticated waistband with a drawstring closure,1,1,4,6
Pepe Jeans Girls Navy Blue Heavy Fade Stretchable Jeans,Pepe Jeans,1999,3,Dark heavy fade navy blue jeansRegular fitMid-riseClean lookStretchable5 pocketLength: regular,Blue,1,0,10,9
Ishin Women Off-White & Pink Block Print Kurta with Palazzos & Dupatta,Ishin,1397,7,"\"Off-white and pink block print kurta with palazzosOff-white and pink block printstraight calf length kurta",has a round neck,1,1,15,12
Puma Unisex Black Mesh Escaper Core Running Shoes,Puma,2974,5,"\"Product Design Details:A pair of black running sports shoes","?lace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer\"",2,1,9,8
Caprese Peach-Coloured Solid Sling Bag,Caprese,1169,5,"\"Peach-Coloured solid sling bag",has a twist closure1 main compartment,1,1,4,5
Urban Dog Men Navy Blue Printed Regular Fit Sports Shorts,Urban Dog,399,4,"\"Navy Blue printed mid-rise sports shorts",has two pockets,0,1,6,10
Bvlgari Men Black Eau De Toilette 40 ml,Bvlgari,3500,2,"\"Bvlgari presents this 'Black' EDT that will ensure a reviving and invigorating fragranceThis EDT has a subtle background tobacco-like note",leading the way to a sweet,0,1,20,8
Bvlgari Women Splendida Iris D'Or Eau De Parfum 50 ml,Bvlgari,7650,2,"\"NotesTop notes: Violet Leaves absolute",HeliotropeHeart notes: Orris abs,1,1,5,10
Lady Lyka Women Beige and Burgundy Pack of 2 Everyday Bras ENTIZER-11-SKN-WHN-Multi,Lady Lyka,510,4,Pack of 2 Beige and burgundy solid medium-coverage Everyday braNon Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort,Beige,1,1,24,12
Lady Lyka Women Red and Beige Pack of 2 Beginners Bras ATHLETE-RED-SKN-Multi,Lady Lyka,425,5,Pack of 2Red and beige solid medium-coverage beginners braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort,Red,1,1,25,12
Next Look Men Maroon Regular Fit Checked Formal Shirt,Next Look,549,5,"\"Maroon checked casual shirt",has a spread collar,0,1,4,9
Park Avenue Men Grey Regular Fit Solid Formal Trousers,Park Avenue,799,5,"\"Grey solid mid-rise formal trousers",has a button closure,0,1,5,9
Geox Men Brown Perforated Leather Formal Derbys,Geox,5999,5,"\"A pair of brown round-toed formal derbysLeather upper with perforationsCushioned footbedTextured and patterned outsole","has a stacked heel\"",0,1,14,7
Sera Women Grey & Yellow Straight Fit Printed Cigarette Trousers,Sera,711,5,"\"Grey and yellow mid-rise printed mid-rise cigarette trousers","has a slip-on closure\"",1,1,8,10
Roadster Men Blue Super Skinny Fit Mid-Rise Low Distress Stretchable Jeans,Roadster,1299,7,"\"Blue medium wash 5-pocket mid-rise jeans",low distress,0,1,6,11
INCOLOR Women Red Jewel Queen 06 Lipstick 3.7g,INCOLOR,299,6,"\"What It Is?:INCOLOR Women Jewel Queen 06 Lipstick 3.7gColour Shade Name:RedWhat It Does?:Incolor's Jewel Queen Lipstick is a rich and nourishing lipstick packed with a creamy texture that glides on smoothly",is super long wearing and easy to apply. The lipstick glides on easily to deliver an instant pop of colour. It is specially formulated to provide your lips with a glossy finish and a moisturizing rich coverage for ultra-pigmented lips.Features:Ultra nourishing lip colour that delivers a full impact colourIt features a rich yet lightweight creme-based formulaProvides a silky smooth finish and a great colour pay offThe ultra comfortable formula,1,1,31,8
